id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2018-656193,2018-01-05,000001,Vente,140000,2,,RUE DE LA REPUBLIQUE,0700,69580,69292,Sathonay-Camp,69,,,69292000AE0012,,,1,95.33,5,23.94,8,,,,,,3,4,Local industriel. commercial ou assimilé,120,0,,,,,,4.873549,45.825161
2018-656194,2018-01-06,000001,Vente,85605,19,,RUE DE LA FRATERNELLE,2895,69009,69389,Lyon 9e Arrondissement,69,,,69389000BV0111,,,30,17.22,,,,,,,,,1,2,Appartement,17,1,,,,,,4.804004,45.768488
2018-656195,2018-01-03,000001,Vente,10000,65,,RUE DE ST CYR,6295,69009,69389,Lyon 9e Arrondissement,69,,,69389000AX0092,,,62,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.806677,45.78671
2018-656196,2018-01-03,000001,Vente,232800,3,,RUE BURDEAU,1155,69001,69381,Lyon 1er Arrondissement,69,,,69381000AK0046,,,9,41.1,,,,,,,,,1,2,Appartement,40,2,,,,,,4.831404,45.770318
2018-656197,2018-01-03,000001,Vente,162000,17,T,RUE GAMBETTA,0110,69270,69088,Fontaines-sur-Saône,69,,,69088000AB0508,,,52,70.72,7,,,,,,,,2,2,Appartement,71,3,,,,,,4.843448,45.836897
2018-656198,2018-01-04,000001,Vente,550000,26,,CRS ARISTIDE BRIAND,0060,69300,69034,Caluire-et-Cuire,69,,,69034000BC0041,,,11,133.91,,,,,,,,,1,2,Appartement,126,5,,,,,,4.843373,45.782877
2018-656199,2018-01-02,000001,Vente,260000,26,,RUE PROF LOUIS PAUFIQUE,5740,69002,69382,Lyon 2e Arrondissement,69,,,69382000AL0007,,,6,44.69,,,,,,,,,1,2,Appartement,45,2,,,,,,4.835637,45.759196
2018-656200,2018-01-11,000001,Vente,21082166,,,,,,69389,Lyon 9e Arrondissement,69,,,69389000AX0043,,2,,,,,,,,,,,0,,,,,,,,,,4.804317,45.785744
2018-656200,2018-01-11,000001,Vente,21082166,,,,,,69389,Lyon 9e Arrondissement,69,,,69389000AX0044,,2,,,,,,,,,,,0,,,,,,,,,,4.804525,45.7855
2018-656200,2018-01-11,000001,Vente,21082166,144,,AV DU 25E RGT TIR SENEGALAIS,7495,69009,69389,Lyon 9e Arrondissement,69,,,69389000AX0051,,4,,,,,,,,,,,0,,,,,,,,,,4.80379,45.785374
